method,seed,k,h,budget,score,success,final_distance,avg_k,avg_h,avg_budget,nfe,policy_calls,rollout_time_sec,chunk_discontinuity,smoothness,jerk_proxy,phase_free_score,phase_contact_score,phase_align_score
fixed_k2_h2,2,2.0,2.0,1.0,0.885104364447675,1,0.060110204769456894,2.0,2.0,1.0,120,60,0.008448250591754913,0.5830324569828222,0.25811768087323583,0.6173882649236603,0.43185150042375,0.44689269620870603,0.88725804257519
fixed_k2_h2,3,2.0,2.0,1.0,0.9529607394307035,1,0.024357553021243483,2.0,2.0,1.0,120,60,0.021071888506412506,0.4915475538820909,0.17556354150443299,0.39248622079238527,0.46099259404027765,0.4861859463684706,0.8771380427851028
fixed_k2_h2,4,2.0,2.0,1.0,0.8541890915390562,1,0.07665710149169618,2.0,2.0,1.0,120,60,0.007204519584774971,0.5940029226813001,0.26236243511528784,0.6081063180803606,0.4362546232607933,0.4297895955350433,0.9044565552672753
fixed_k2_h2,5,2.0,2.0,1.0,0.9869435327244609,1,0.006727349633092345,2.0,2.0,1.0,120,60,0.0066274600103497505,0.5337622381693355,0.19738397164091248,0.4253650812496446,0.38600712551834493,0.38236169325540736,0.8644406636485734
fixed_k2_h2,6,2.0,2.0,1.0,0.8975876230680406,1,0.05347573509164335,2.0,2.0,1.0,120,60,0.006484583951532841,0.5680214742050652,0.21787974972798296,0.46214488526597464,0.4058515463104972,0.3516671522536933,0.8987015487658462
fixed_k2_h2,7,2.0,2.0,1.0,0.752014905727949,1,0.13261504699735116,2.0,2.0,1.0,120,60,0.006398435682058334,0.5118646667718366,0.18297474739612837,0.40841608997647544,0.4787918092724098,0.49513986158191153,0.790506687184088
fixed_k2_h4,0,2.0,4.0,0.5,0.8170552535845791,1,0.0967605377833772,2.0,4.0,0.5,60,30,0.006076223216950893,0.46691721696270505,0.08694945600187744,0.18972112450409814,0.37323136651969707,0.39607739268722764,0.8531680836649288
fixed_k2_h4,1,2.0,4.0,0.5,0.9394694713199961,1,0.03140640872716551,2.0,4.0,0.5,60,30,0.006272702477872372,0.5585700509116781,0.13102080246647935,0.2947767344451131,0.43875454670363817,0.4890713369389372,0.8968058409436206
fixed_k2_h4,2,2.0,4.0,0.5,0.6624414064579767,0,0.18348645634652083,2.0,4.0,0.5,60,30,0.017211616970598698,0.6622454291511158,0.17285482910010455,0.4121926181838957,0.512212898002901,0.5242184773755725,0.8908890126371534
fixed_k2_h4,3,2.0,4.0,0.5,0.9788314142998384,1,0.01091992585589664,2.0,4.0,0.5,60,30,0.011010046117007732,0.48909026872636296,0.1077432423726586,0.2528302455894474,0.5584116678387266,0.4993081674571229,0.9487893713535586
fixed_k2_h4,4,2.0,4.0,0.5,0.8146425796326536,1,0.09807563395652406,2.0,4.0,0.5,60,30,0.006814541295170784,0.5298860284044346,0.12636731396859727,0.32497772970582317,0.42793353351279145,0.4280938623486757,0.8634909015610857
fixed_k2_h4,5,2.0,4.0,0.5,0.8657095755169983,1,0.0704712652763695,2.0,4.0,0.5,60,30,0.00614528451114893,0.5110224659761151,0.09390579841657493,0.2169069859388132,0.38140636738666656,0.4052364658660061,0.8483713228683591
fixed_k2_h4,6,2.0,4.0,0.5,0.8813050600293602,1,0.06213471376790366,2.0,4.0,0.5,60,30,0.007221248000860214,0.5554236485358282,0.1335604038651121,0.32021980983907977,0.4929410206243801,0.514712239484556,0.9629613879417486
fixed_k2_h4,7,2.0,4.0,0.5,0.8894116961015127,1,0.057817987370360216,2.0,4.0,0.5,60,30,0.0067202746868133545,0.4785963284681948,0.1218546178583318,0.30651477432248564,0.4325627053698116,0.37001963100487945,0.8401121868016668
fixed_k2_h8,0,2.0,8.0,0.25,0.32060918399849386,0,0.4005093291414622,2.0,8.0,0.25,30,15,0.005811125040054321,0.4746069324370769,0.05089366341502925,0.1027197397442268,0.3406470077406662,0.4101662608116767,nan
fixed_k2_h8,1,2.0,8.0,0.25,0.6755778551735738,0,0.1759083365875361,2.0,8.0,0.25,30,15,0.006434082053601742,0.4529267253305961,0.0715291670415918,0.17377941269265887,0.48297729098825415,0.5970576619494524,0.8291964515259974
fixed_k2_h8,2,2.0,8.0,0.25,0.867677203062714,1,0.06941712087219234,2.0,8.0,0.25,30,15,0.006514769978821278,0.4200261638033851,0.05609263551040851,0.11740107938422147,0.5006680217538251,0.39592002504050894,0.938483434785168
fixed_k2_h8,3,2.0,8.0,0.25,0.8593825069051891,1,0.07386560479700277,2.0,8.0,0.25,30,15,0.01680004596710205,0.4496196431240248,0.05317711867863128,0.12473145375041014,0.5944468505339151,0.5284454358168802,0.922331940888543
fixed_k2_h8,4,2.0,8.0,0.25,0.8143558952546314,1,0.09823197330392197,2.0,8.0,0.25,30,15,0.008405099622905254,0.37149174739250707,0.043566120924285065,0.08887362925247627,0.44834061797104907,0.5439584638156437,0.944834750128448
fixed_k2_h8,5,2.0,8.0,0.25,0.8147674162702565,1,0.09800756094151254,2.0,8.0,0.25,30,15,0.006832202896475792,0.5408747782810519,0.07133966828401218,0.16005060825743136,0.4455458251416064,0.386195366359453,0.9104138494638023
fixed_k2_h8,6,2.0,8.0,0.25,0.542357302707495,0,0.25491062361296946,2.0,8.0,0.25,30,15,0.005789711140096188,0.4560317021749526,0.05071339437014779,0.1058049793028955,0.5858469659965285,0.3136858959362147,nan
fixed_k2_h8,7,2.0,8.0,0.25,0.8782333780606547,1,0.06377332312027553,2.0,8.0,0.25,30,15,0.005912297405302525,0.41160527228382165,0.04706636043981566,0.1060297267360502,0.3512297004447346,0.5111040411128555,0.8527592230761114
fixed_k4_h1,0,4.0,1.0,4.0,0.4516406999312661,0,0.3119098436842684,4.0,1.0,4.0,480,120,0.009273781441152096,0.43367538581136894,0.23342265965488646,0.7126736859237381,0.36632504532242394,0.35955875668291126,nan
fixed_k4_h1,1,4.0,1.0,4.0,0.591018988721188,0,0.22547225316214603,4.0,1.0,4.0,480,120,0.00715926568955183,0.41614606194531206,0.22949798270848165,0.6908756388665143,0.45801962312931943,0.41534829195896555,nan
fixed_k4_h1,2,4.0,1.0,4.0,0.8468683152035125,1,0.08060032102153572,4.0,1.0,4.0,480,120,0.00712583027780056,0.46155103617615056,0.25669562552733827,0.7626051173936986,0.47224194973969486,0.41981806281324646,0.8698952310902113
fixed_k4_h1,3,4.0,1.0,4.0,0.9963510131001061,1,0.0018776016199119794,4.0,1.0,4.0,480,120,0.021355468779802322,0.40851702959914166,0.21221479097377602,0.6405843116336778,0.48433862008866996,0.5006464865703012,0.8487861219890005
fixed_k4_h1,4,4.0,1.0,4.0,0.8479247215018296,1,0.08003070510369842,4.0,1.0,4.0,480,120,0.007729973644018173,0.46495396858131116,0.28073554146914964,0.8609611086843483,0.5426697979654206,0.43131771596258855,0.9311316330634563
fixed_k4_h1,5,4.0,1.0,4.0,0.7670118659767365,1,0.12427164773877894,4.0,1.0,4.0,480,120,0.007167702540755272,0.3673045710432727,0.1781595640612284,0.5281955217677357,0.43345524875222124,0.46196184797312123,0.8134838990451267
fixed_k4_h1,6,4.0,1.0,4.0,0.5078577155642471,0,0.2762399008954044,4.0,1.0,4.0,480,120,0.007098850794136524,0.41430935120489254,0.21312755383334375,0.6261635425688677,0.4499855927988099,0.3323869466744908,nan
