method,seed,k,h,budget,score,success,final_distance,avg_k,avg_h,avg_budget,nfe,policy_calls,rollout_time_sec,chunk_discontinuity,smoothness,jerk_proxy,phase_free_score,phase_contact_score,phase_align_score
fixed_k2_h1,15,2.0,1.0,2.0,0.5187594021718075,0,0.2694564583537583,2.0,1.0,2.0,240,120,0.006996899843215942,0.5237250759701805,0.3506310631541529,1.0364780400896927,0.5338850857060261,0.350891468755609,nan
fixed_k2_h1,16,2.0,1.0,2.0,0.7035365879169273,1,0.15991807231804397,2.0,1.0,2.0,240,120,0.006981974467635155,0.4978669659110901,0.31820052918725916,0.8703535241847534,0.4886292438109642,0.4602120116823613,0.7731344641039647
fixed_k2_h1,17,2.0,1.0,2.0,0.6272543550603842,0,0.20400034111949122,2.0,1.0,2.0,240,120,0.007028236985206604,0.5721550178114161,0.41173154238674636,1.2761000823072959,0.3542287542810753,0.4541084646317888,nan
fixed_k2_h1,18,2.0,1.0,2.0,0.9935085725281568,1,0.003341552958486005,2.0,1.0,2.0,240,120,0.007076616398990154,0.5201926318114427,0.35756769331497884,0.9676385689389634,0.48324261535140617,0.5747408785134125,0.9507314776398015
fixed_k2_h1,19,2.0,1.0,2.0,0.8985119362023829,1,0.05298554296441447,2.0,1.0,2.0,240,120,0.0072046369314193726,0.5664236310254577,0.3923932118040932,1.2240462279324926,0.45543975329227077,0.518785875556613,0.8105686684110017
fixed_k2_h2,0,2.0,2.0,1.0,0.7616224702331065,1,0.12726456879764608,2.0,2.0,1.0,120,60,0.0064124781638383865,0.5774828506739563,0.23300847238248293,0.49846582692735564,0.3643812517534524,0.4265052793751935,0.7989646664242485
fixed_k2_h2,1,2.0,2.0,1.0,0.9972088170744519,1,0.001436038568467766,2.0,2.0,1.0,120,60,0.006406947039067745,0.49162936193559753,0.1831793095388194,0.40302710270002706,0.4664064311849752,0.4954564793028385,0.9324068251608808
fixed_k2_h2,2,2.0,2.0,1.0,0.885104364447675,1,0.060110204769456894,2.0,2.0,1.0,120,60,0.007158451713621616,0.5830324569828222,0.25811768087323583,0.6173882649236603,0.43185150042375,0.44689269620870603,0.88725804257519
fixed_k2_h2,3,2.0,2.0,1.0,0.9529607394307035,1,0.024357553021243483,2.0,2.0,1.0,120,60,0.006466039456427097,0.4915475538820909,0.17556354150443299,0.39248622079238527,0.46099259404027765,0.4861859463684706,0.8771380427851028
fixed_k2_h2,4,2.0,2.0,1.0,0.8541890915390562,1,0.07665710149169618,2.0,2.0,1.0,120,60,0.007151144556701183,0.5940029226813001,0.26236243511528784,0.6081063180803606,0.4362546232607933,0.4297895955350433,0.9044565552672753
fixed_k2_h2,5,2.0,2.0,1.0,0.9869435327244609,1,0.006727349633092345,2.0,2.0,1.0,120,60,0.006643216125667095,0.5337622381693355,0.19738397164091248,0.4253650812496446,0.38600712551834493,0.38236169325540736,0.8644406636485734
fixed_k2_h2,6,2.0,2.0,1.0,0.8975876230680406,1,0.05347573509164335,2.0,2.0,1.0,120,60,0.006420234218239784,0.5680214742050652,0.21787974972798296,0.46214488526597464,0.4058515463104972,0.3516671522536933,0.8987015487658462
fixed_k2_h2,7,2.0,2.0,1.0,0.752014905727949,1,0.13261504699735116,2.0,2.0,1.0,120,60,0.0063559021800756454,0.5118646667718366,0.18297474739612837,0.40841608997647544,0.4787918092724098,0.49513986158191153,0.790506687184088
fixed_k2_h2,8,2.0,2.0,1.0,0.6379754086858317,0,0.19771597973475175,2.0,2.0,1.0,120,60,0.007036912254989147,0.501827335971617,0.19662374980693662,0.4468719599100288,0.42787827526210626,0.6521820200439747,0.8367557862410326
fixed_k2_h2,9,2.0,2.0,1.0,0.6227757164808393,0,0.20663465687218927,2.0,2.0,1.0,120,60,0.0063924482092261314,0.48346689475054844,0.1673742561695432,0.38783068860425884,0.4297580019957474,0.4329169596858785,nan
fixed_k2_h2,10,2.0,2.0,1.0,0.7040764092487602,1,0.15961114235557944,2.0,2.0,1.0,120,60,0.006354093551635742,0.5207705484836483,0.18860436406638545,0.42651020912393833,0.3998287612031001,0.4770706509737668,0.7683841357136184
fixed_k2_h2,11,2.0,2.0,1.0,0.9636614217091576,1,0.018786970485949454,2.0,2.0,1.0,120,60,0.007765972055494785,0.49035150423603446,0.18547667540097407,0.45736550251827196,0.45681258747529163,0.4715349010196449,0.9219985851092867
fixed_k2_h2,12,2.0,2.0,1.0,0.8695599926997177,1,0.0684090671340315,2.0,2.0,1.0,120,60,0.0066594090312719345,0.4435469125488946,0.1382104634367793,0.3009594574680221,0.4231913215114399,0.4100534347367424,0.8407873765310001
fixed_k2_h2,13,2.0,2.0,1.0,0.8277164985243981,1,0.09096254592446816,2.0,2.0,1.0,120,60,0.007007066160440445,0.5019200688230492,0.19778969110244868,0.4887322093067557,0.4510468959825535,0.4674672356479997,0.9327350696632704
fixed_k2_h2,14,2.0,2.0,1.0,0.5576855610419519,0,0.24555915784165308,2.0,2.0,1.0,120,60,0.006325199268758297,0.5064165544230562,0.17529228425321924,0.40139200934623154,0.5402844246564124,0.3560458439005023,nan
fixed_k2_h2,15,2.0,2.0,1.0,0.5682997909287592,0,0.2391266512035145,2.0,2.0,1.0,120,60,0.006334028206765652,0.46579402983133433,0.16780798303826586,0.3765322674337134,0.40557417970945586,0.5453878137651548,nan
fixed_k2_h2,16,2.0,2.0,1.0,0.8607891899540511,1,0.07311033333547808,2.0,2.0,1.0,120,60,0.006327581591904163,0.5071816723972344,0.17750905923670462,0.38229053794565765,0.3919615616252484,0.4274469221212566,0.878259891260442
fixed_k2_h2,17,2.0,2.0,1.0,0.6403110610019436,0,0.19635090598151,2.0,2.0,1.0,120,60,0.006315184757113457,0.50505785416888,0.17195700858386048,0.3649874091918599,0.5055454736826909,0.4709275350636044,nan
fixed_k2_h2,18,2.0,2.0,1.0,0.7272739426481921,1,0.14648421803031655,2.0,2.0,1.0,120,60,0.007010084576904774,0.500633462695666,0.19442043471002024,0.43647637276309365,0.37962432932316864,0.38136516997280573,0.8846949278424062
fixed_k2_h2,19,2.0,2.0,1.0,0.8781971710053318,1,0.06379264777175944,2.0,2.0,1.0,120,60,0.006839798763394356,0.5259282661277633,0.20131411187759388,0.4545655401028348,0.5245135683430799,0.40915696866866297,0.9180931624198719
