k,h,budget,n_matched,ddpm_mean,ddpm_success_095,ddim_mean,ddim_success_095,delta_mean,delta_bootstrap_ci_low,delta_bootstrap_ci_high
25,2,12.5,20,0.15480444475860594,0.0,0.899804422270664,0.8,0.7449999775120578,0.5931668196344141,0.8697562438781163
50,4,12.5,20,0.6531389287361444,0.35,0.9287288429580303,0.75,0.2755899142218858,0.05550950276761716,0.4880227063331668
100,8,12.5,20,0.9485482200015596,0.95,0.9001579004758387,0.9,-0.048390319525720954,-0.15238826747784848,0.00713542645652473
