seed,visible_rate,none_score,mean_prior_score,frame_hold_score,carry_forward_score,linear_score,oracle_score
4300000,0.5,0.0,0.0,0.0,1.0,1.0,0.9766821274069688
4300001,0.5,0.0,0.01773221678446328,0.01773221678446328,0.9957755485766744,0.9977285617275605,0.9644834427281899
4300002,0.5,0.9126232258363441,0.3397410204630584,0.3397410204630584,0.9959152435285693,1.0,0.9965631243614713
4300003,0.5,0.2793715380936817,0.9799951430134728,0.9359340041939503,1.0,1.0,1.0
4300004,0.5,0.04481892962823524,0.08068450735621865,0.08068450735621865,1.0,1.0,0.9903516144166115
4300005,0.5,0.1540320855796819,0.39402915124395066,0.39402915124395066,1.0,0.9916668890256232,1.0
4300006,0.5,0.0,0.0,0.0,1.0,0.0,0.9829059839631646
4300007,0.5,0.045127646075307386,0.09625812245861275,0.09625812245861275,0.5779515071628251,0.4007106672809371,0.9976660121029145
4300008,0.5,0.0,0.20290560310886324,0.20290560310886324,1.0,0.9991817897550254,0.9967004627702787
4300009,0.5,0.0020810394892684255,0.9913080494149378,0.9913080494149378,0.9207534464431333,0.987319306826594,0.9545351450751441
4300010,0.5,0.0,0.0,0.0,1.0,1.0,1.0
4300011,0.5,0.4021179755885117,0.894255329328792,0.894255329328792,0.9825346086635807,0.9710313510092674,0.9960788443043639
4300012,0.5,0.4206028216374119,0.3675943437197816,0.3675943437197816,0.9973294888650726,1.0,1.0
4300013,0.5,0.3087005263470074,0.3126089214334141,0.3126089214334141,0.9763140545863058,0.9993927565996001,0.9747545356056472
4300014,0.5,0.12692575585064533,0.9996163820900412,0.9996163820900409,0.9381147781717648,1.0,1.0
4300015,0.5,0.23440040487599448,0.23179395134730246,0.23179395134730246,0.969781080238509,1.0,0.9842120887986381
4300016,0.5,0.0,0.9809931300672163,0.9809931300672159,0.0,0.9992085426078815,0.0
4300017,0.5,9.468268545153251e-05,0.03355519637147671,0.03355519637147671,0.9820425423620734,1.0,1.0
4300018,0.5,0.4151810652436102,0.987803032307607,0.987803032307607,0.7386655122998118,0.9579772273471663,1.0
4300019,0.5,0.19012144681699028,0.18709425756519626,0.18709425756519626,0.9518332248196342,0.18709425756519626,0.18822462798337974
4300000,0.25,0.0,0.0,0.0,0.0,0.34814068232763096,0.9766821274069688
4300001,0.25,0.0,0.021272391034009464,0.021272391034009464,0.8320362938827138,0.044344838296266974,0.9644834427281898
4300002,0.25,0.17403636649123597,0.21258341717299029,0.21258341717299029,1.0,0.9967540664769122,0.9965631243614713
4300003,0.25,0.2793715380936817,0.8138255721840066,0.8138255721840066,0.5353785100983048,0.9716727927219324,1.0
4300004,0.25,0.015834104809286244,0.22120003698485255,0.22120003698485255,0.43353890732825534,0.8998186467963101,0.9903516144166115
4300005,0.25,0.1540320855796819,0.3223140685059896,0.3223140685059896,0.502333833849206,0.8956604704059222,1.0
4300006,0.25,0.0,0.0,0.0,0.0,0.0,0.9829059839631646
4300007,0.25,0.045127646075307386,0.045127646075307386,0.045127646075307386,0.5333902148798064,0.42888521274844976,0.9976660121029144
4300008,0.25,0.0,0.007078757830265698,0.007078757830265698,0.958826785182027,0.0,0.9967004627702787
4300009,0.25,0.00022323700018118755,0.6588690798145046,0.6588690798145046,0.7792167069893423,0.8624056803741065,0.9545351450751441
4300010,0.25,0.0,0.0,0.0,0.0,0.9957061515339612,1.0
4300011,0.25,0.5358019064850138,0.27954753320248316,0.27954753320248316,0.47677319314518996,0.9722075429097737,0.9960788443043639
4300012,0.25,0.16202009453831215,0.3466108452081189,0.346610845208119,0.43760145160869235,0.2219899077848771,1.0
4300013,0.25,0.3087005263470074,0.3745656435889815,0.3745656435889815,0.9140648620086582,0.9838062608133558,0.9747545356056472
4300014,0.25,0.1924634683451791,0.24423520419878972,0.24423520419878972,1.0,0.9276843263737097,1.0
4300015,0.25,0.21993068956021253,0.2584894686996958,0.2584894686996958,0.9574015343831028,0.9725557976248821,0.9842120887986381
4300016,0.25,0.006964729583132399,0.25897425523184503,0.25897425523184503,0.006964729583132399,0.934488936682971,0.0
4300017,0.25,0.024564773481849718,0.2350663133769081,0.2350663133769081,0.7989550820257879,0.9948348446552883,1.0
4300018,0.25,0.379817153057252,0.6630254316029178,0.6630254316029179,0.5032110971443892,0.7203403009892346,1.0
4300019,0.25,0.1910511775436645,0.18500770993332996,0.18500770993332996,0.824493698272239,0.18500770993332996,0.18822462798337974
