step,pusher_x,pusher_y,obj_x,obj_y,goal_x,goal_y,obj_goal_dist,pusher_obj_dist,contact,progress,phase,seed,method,k,h,local_chunk_step,convergence_signal,action_x,action_y,final_score,success
28,0.31921654998384175,0.23021937477518659,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.1982509420777811,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.05217186878537758,0.43643875115912895,0.26761630690543764,0.9816262707472116,1
29,0.3222255327573955,0.24077330282073697,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.18826558392551063,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.03023898751273188,0.0668662838567504,0.2345317343455641,0.9816262707472116,1
30,0.2966008025718773,0.24755214712027832,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.20141320340015365,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.16163612835038677,-0.5694384485670709,0.15064098443425225,0.9816262707472116,1
31,0.2950672577112917,0.24728733198675354,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.20273009369572434,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.08184432256616264,-0.034078774679679916,-0.005884780744995002,0.9816262707472116,1
32,0.33136115399718347,0.2430414350966081,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.18063045764665378,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.14151168116061907,0.8065310285753715,-0.09435326422545387,0.9816262707472116,1
33,0.33701026369825293,0.27779668736951735,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.15122670917024705,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.12492869114418886,0.12553577113487713,0.7723389393979834,0.9816262707472116,1
34,0.3308303210308242,0.2766475657940144,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.15651573784137365,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.06220436274550703,-0.13733205927619424,-0.025536035011176378,0.9816262707472116,1
35,0.34127606527159904,0.3087746322098095,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.12815156537182287,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.11961081000230372,0.23212764979499662,0.7139348092398912,0.9816262707472116,1
36,0.34802493668978074,0.32079753681039536,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.11585987242367123,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.05811857144119467,0.14997492040403837,0.26717565779079655,0.9816262707472116,1
37,0.3309465743665998,0.29182149272331326,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.14657607473607384,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.16294850727626997,-0.3795191627373548,-0.6439120908240469,0.9816262707472116,1
38,0.3334901369730055,0.3050389696517545,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.13667498543232956,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.039983219314894375,0.05652361347568231,0.29372170952091536,0.9816262707472116,1
39,0.3357923632772012,0.3087292987180838,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.13269611108667206,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.01438118324303568,0.05116058453768152,0.08200731258509578,0.9816262707472116,1
40,0.335539929045717,0.32357737485945054,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.12526008476564968,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.07259312694340492,-0.005609649588536976,0.3299572475859276,0.9816262707472116,1
41,0.3257259562971555,0.3158790429847755,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.13756117489857744,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.04842588174997528,-0.2180882833013662,-0.17107404165944626,0.9816262707472116,1
42,0.32802537645928964,0.3284247556409971,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.1298379791264495,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.06634107600485425,0.05109822582520267,0.2787936145827032,0.9816262707472116,1
43,0.3224790071716892,0.3142004740768434,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.14121480136047246,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.052660130829400686,-0.12325265083556525,-0.31609514587008236,0.9816262707472116,1
44,0.3352630572136276,0.28456677462500807,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.14791868243534406,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.14026448247729095,0.28409000093196446,-0.6585266544852285,0.9816262707472116,1
45,0.3484008091870706,0.28546396585438594,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.13772235113623665,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.07449951445649883,0.29195004385428946,0.019937582875063562,0.9816262707472116,1
46,0.3453734618760685,0.281460260262469,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.14269416988891667,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.007691879555792452,-0.06727438468893675,-0.08897123537593155,0.9816262707472116,1
47,0.32619336921259773,0.28152738244469305,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.15676856857883428,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.08548697797804089,-0.4262242814104619,0.0014916040494236185,0.9816262707472116,1
48,0.3348420598648923,0.2847399933208073,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.14811962227039183,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.0440039106874513,0.19219312560654578,0.07139135280253836,0.9816262707472116,1
49,0.34772701040290743,0.28291576737734236,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.14000389446890546,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.031167851547436065,0.28633223417811476,-0.040538354299220467,0.9816262707472116,1
50,0.336814494748412,0.25981444225455064,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.1643338121032207,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.10047312921322721,-0.24250034787767555,-0.5133627805064832,0.9816262707472116,1
51,0.35287461232230966,0.268170054077869,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.14755903552160424,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.06882879365047759,0.3568915016421695,0.18568026274040786,0.9816262707472116,1
52,0.36092921787104476,0.26897969964743823,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.14196310288775424,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.034241927304633754,0.17899123441633596,0.01799212376820601,0.9816262707472116,1
53,0.37756906852143574,0.2724899365238892,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.12966657547642654,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.06890478305647676,0.3697744588975769,0.07800526392113266,0.9816262707472116,1
54,0.37775618490458657,0.24887985658574824,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.15015244262151545,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.10289388142560113,0.004158141847795949,-0.5246684430697992,0.9816262707472116,1
55,0.3917784390031477,0.23590614739382365,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.15641870926584836,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.09636552073323895,0.3116056466346919,-0.28830464870943506,0.9816262707472116,1
56,0.3869045143522632,0.21782173689035972,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.17507946155706924,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.10215274285723458,-0.10830943668632187,-0.4018757889658655,0.9816262707472116,1
57,0.39856723338947436,0.21750061275636787,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.1718025274787641,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.07138838599578229,0.2591715341602485,-0.007136091866485762,0.9816262707472116,1
58,0.41223651593911126,0.23164926126315052,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.1547049002914693,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.08752404371990224,0.30376183443637567,0.3144144112618368,0.9816262707472116,1
59,0.40134603386821865,0.24187553356940092,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.14766390837891322,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.03855408555367379,-0.24201071268650243,0.22725049569445327,0.9816262707472116,1
60,0.39204263851763166,0.22724135511241542,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.16448659009678424,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.10519966781650858,-0.20674211890193325,-0.32520396571078924,0.9816262707472116,1
61,0.40643714122369806,0.23515652832811587,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.1526835604579836,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.10249104498777839,0.3198778379125868,0.17589273812667702,0.9816262707472116,1
62,0.3902589056134735,0.23987889897952938,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.1532448502671452,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.04644540554229798,-0.3595163468938795,0.10494157003141148,0.9816262707472116,1
63,0.384510012456417,0.24884902155805436,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.14723336047355803,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.01355369650571741,-0.1277531812679217,0.1993360573005551,0.9816262707472116,1
64,0.39484438057648863,0.2689312717947768,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.12467427398740319,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.09546448461337592,0.22965262489047966,0.4462722274827213,0.9816262707472116,1
65,0.370359288241577,0.2761709829971732,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.1305949538142402,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.07096260513842939,-0.5441131629980369,0.16088247116436394,0.9816262707472116,1
66,0.36153068120173276,0.27575878153149314,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.13622300073969756,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.03199492921768923,-0.19619126755209385,-0.009160032570667484,0.9816262707472116,1
67,0.3423928713446432,0.2822890436786579,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.14423394102950018,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.06730775041945397,-0.4252846634908793,0.1451169366036614,0.9816262707472116,1
68,0.3521523373248513,0.29215020830992067,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.13036335080326797,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.060441613929644256,0.21687702178240195,0.2191369918058381,0.9816262707472116,1
69,0.351309708647637,0.2576258523917665,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.15681968970191776,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.18616757779716053,-0.018725081715872713,-0.7672079092923152,0.9816262707472116,1
70,0.36427399657018217,0.2853003399230299,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.1270923689171072,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.11641149539195306,0.28809528716767085,0.6149886118058527,0.9816262707472116,1
